route_id,route_no,route_name
aus:vic:vic-03-1:,1,South Melbourne Beach - East Coburg
aus:vic:vic-03-109:,109,Port Melbourne - Box Hill
aus:vic:vic-03-11:,11,Victoria Harbour Docklands - West Preston
aus:vic:vic-03-12:,12,St Kilda (Fitzroy St) - Victoria Gardens
aus:vic:vic-03-16:,16,Kew - Melbourne University via St Kilda Beach
aus:vic:vic-03-19:,19,"Flinders Street Station, City - North Coburg"
aus:vic:vic-03-3:,3,East Malvern - Melbourne University
aus:vic:vic-03-30:,30,Central Pier Docklands - St Vincents Plaza
aus:vic:vic-03-35:,35,Clockwise - Clockwise
aus:vic:vic-03-48:,48,Victoria Harbour Docklands - North Balwyn
aus:vic:vic-03-5:,5,Malvern (Burke Road) - Melbourne University
aus:vic:vic-03-57:,57,"Flinders Street Station, City - West Maribyrnong"
aus:vic:vic-03-58:,58,Toorak - West Coburg
aus:vic:vic-03-59:,59,"Flinders Street Station, City - Airport West"
aus:vic:vic-03-6:,6,Glen Iris - Moreland
aus:vic:vic-03-64:,64,East Brighton - Melbourne University
aus:vic:vic-03-67:,67,Carnegie - Melbourne University
aus:vic:vic-03-70:,70,Waterfront City Docklands - Wattle Park
aus:vic:vic-03-72:,72,Camberwell - Melbourne University
aus:vic:vic-03-75:,75,Central Pier Docklands - Vermont South
aus:vic:vic-03-78:,78,Balaclava via Prahran - North Richmond
aus:vic:vic-03-82:,82,Moonee Ponds - Footscray
aus:vic:vic-03-86:,86,Waterfront City Docklands - Bundoora RMIT
aus:vic:vic-03-96:,96,St Kilda Beach - East Brunswick
